StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"gender ",education,"age ","python_knowlege ",r_knowlege,preference_rating,tools,tools_12_TEXT,OS,OS_4_TEXT,distance_to_home,Comments
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender?,What is your highest level of education?,Please enter your age in years. (If you don`t feel comfortable sharing your age you can invent an age here),How knowledgeable are you about the Python programming language?,How knowledgeable are you about the R programming language?,Which programming language do you think this course should be taught in?,Which programming language / data analysis tools have you used before? How proficient your are in this language is irrelevant. - Selected Choice,Which programming language / data analysis tools have you used before? How proficient your are in this language is irrelevant. - Other (please specify) - Text,Which operating system do you use? - Selected Choice,Which operating system do you use? - Other (please specify) - Text,"Please open the following website to calculate the distance in kilometres from Hamburg to your place of birth: https://www.distancefromto.net





(Example image: Enter Hamburg and your place of birth)",If you have any comments or requests for contents this course should cover please enter them here.
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID11""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_4_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}"
2024-10-14 22:39:07,2024-10-14 22:41:46,0,149.224.192.178,100,158,1,2024-10-14 22:41:47,R_8qdPqJORJBSWQHo,,,,,53.6041,10.046,anonymous,EN-GB,0,3,36,3,4,1,"1,2,3,5,7,8,9,10,11",,,,190.49,
2024-10-15 16:56:26,2024-10-15 16:58:01,0,217.111.77.10,100,94,1,2024-10-15 16:58:02,R_2DnWTl5Lo8jDq4W,,,,,53.5642,10.0066,anonymous,EN-GB,0,3,32,2,1,-2,"1,2,3,5,8,9,11",,1,,9471.28,
2024-10-15 16:55:27,2024-10-15 16:58:40,0,217.111.77.10,100,193,1,2024-10-15 16:58:41,R_2Ej9IoxyHxFGVho,,,,,53.5642,10.0066,anonymous,EN-GB,1,2,30,0,0,-2,"3,5",,2,,,
2024-10-15 16:57:58,2024-10-15 16:58:47,0,176.4.224.163,100,48,1,2024-10-15 16:58:47,R_2nYYXJaXQhXPxqS,,,,,53.5742,10.0497,anonymous,EN-GB,0,3,35,4,0,-2,"2,3,5",,3,,3758,
2024-10-15 16:57:57,2024-10-15 16:59:04,0,85.48.186.87,100,67,1,2024-10-15 16:59:04,R_2x6f9Xsk6IBXebT,,,,,40.378,-3.7242,anonymous,EN-GB,0,2,23,2,0,-2,"2,3,5",,1,,1730.83,
2024-10-15 16:55:36,2024-10-15 16:59:49,0,217.111.77.10,100,252,1,2024-10-15 16:59:49,R_2OoTI4PFgJ18YDO,,,,,53.5642,10.0066,anonymous,EN-GB,0,2,27,1,0,-2,"2,3,5,8,9",,1,,7376,
2024-10-15 16:58:25,2024-10-15 17:00:27,0,217.111.77.10,100,122,1,2024-10-15 17:00:28,R_2mvvwRinq7ZbeUN,,,,,53.5642,10.0066,anonymous,EN-GB,1,1,21,3,0,0,"2,3,4,5,9,10",,1,,10897,
2024-10-15 16:55:55,2024-10-15 17:00:30,0,217.111.77.10,100,274,1,2024-10-15 17:00:30,R_8xWd4Sk3tXkehIE,,,,,53.5642,10.0066,anonymous,EN-GB,0,2,34,1,0,-2,"2,3",,1,,8254.4,
2024-10-15 16:55:44,2024-10-15 17:01:05,0,109.42.113.90,100,320,1,2024-10-15 17:01:05,R_8RyACSLnHBp0L05,,,,,53.5544,9.996,anonymous,EN-GB,0,2,26,1,0,-2,"2,3",,1,,0,
2024-10-15 16:58:47,2024-10-15 17:01:07,0,217.111.77.10,100,139,1,2024-10-15 17:01:07,R_2fdGTKLCxVh2Mcx,,,,,53.5642,10.0066,anonymous,EN-GB,0,2,25,2,0,-2,"2,3,5,8,9,10",,1,,13761.52,
2024-10-15 16:55:41,2024-10-15 17:01:36,0,91.223.100.208,100,354,1,2024-10-15 17:01:37,R_8aVnFRFwoAJOOs4,,,,,51.5088,-0.093,anonymous,EN-GB,1,1,21,1,0,-2,"2,5,9,10",,1,,10.890,
2024-10-15 17:01:50,2024-10-15 17:04:22,0,176.4.224.54,100,151,1,2024-10-15 17:04:22,R_8JMGmbmc7ljAusx,,,,,53.5742,10.0497,anonymous,EN-GB,1,3,32,1,0,-1,2,,1,,4242.30,
2024-10-15 16:57:10,2024-10-15 17:09:38,0,217.111.77.10,100,747,1,2024-10-15 17:09:38,R_2VkUAV8zupdTE41,,,,,53.5642,10.0066,anonymous,EN-GB,0,2,23,1,1,-1,"1,2,3,8",,1,,0,
